uuid,name,dob,sex,contact_info,job_id,num_course_taken,current_career_path_id,time_spent_hrs,mailing_address,career_path_id,career_path_name,hours_to_complete,job_category,avg_salary
1,Annabelle Avery,1943-07-03,F,"{""mailing_address"": ""303 N Timber Key, Irondale, Wisconsin, 84736"", ""email"": ""annabelle_avery9376@woohoo.com""}",7,6.0,1,4.99,"303 N Timber Key, Irondale, Wisconsin, 84736",1,data scientist,20,HR,80000
2,Micah Rubio,1991-02-07,M,"{""mailing_address"": ""767 Crescent Fair, Shoals, Indiana, 37439"", ""email"": ""rubio6772@hmail.com""}",7,5.0,8,4.4,"767 Crescent Fair, Shoals, Indiana, 37439",8,android developer,27,HR,80000
3,Hosea Dale,1989-12-07,M,"{""mailing_address"": ""P.O. Box 41269, St. Bonaventure, Virginia, 83637"", ""email"": ""hosea_dale8084@coldmail.com""}",7,8.0,8,6.74,"P.O. Box 41269, St. Bonaventure, Virginia, 83637",8,android developer,27,HR,80000
4,Mariann Kirk,1988-07-31,F,"{""mailing_address"": ""517 SE Wintergreen Isle, Lane, Arkansas, 82242"", ""email"": ""kirk4005@hmail.com""}",6,7.0,9,12.31,"517 SE Wintergreen Isle, Lane, Arkansas, 82242",9,machine learning engineer,35,education,61000
5,Lucio Alexander,1963-08-31,M,"{""mailing_address"": ""18 Cinder Cliff, Doyles borough, Rhode Island, 73737"", ""email"": ""alexander9810@hmail.com""}",7,14.0,3,5.64,"18 Cinder Cliff, Doyles borough, Rhode Island, 73737",3,data analyst,12,HR,80000
6,Shavonda Mcmahon,1989-10-15,F,"{""mailing_address"": ""P.O. Box 81591, Tarpon Springs, Montana, 37057"", ""email"": ""shavonda5863@coldmail.com""}",6,10.0,3,10.12,"P.O. Box 81591, Tarpon Springs, Montana, 37057",3,data analyst,12,education,61000
7,Terrell Bleijenberg,1959-05-05,M,"{""mailing_address"": ""P.O. Box 53471, Oskaloosa, Virginia, 85274"", ""email"": ""bleijenberg188@hmail.com""}",2,9.0,8,24.17,"P.O. Box 53471, Oskaloosa, Virginia, 85274",8,android developer,27,engineer,101000
8,Stanford Allan,1997-11-22,M,"{""mailing_address"": ""255 Spring Avenue, Point Baker, Texas, 15796"", ""email"": ""stanford_allan8055@coldmail.com""}",3,3.0,1,19.54,"255 Spring Avenue, Point Baker, Texas, 15796",1,data scientist,20,software developer,110000
9,Tricia Delacruz,1961-10-20,F,"{""mailing_address"": ""997 Dewy Apple, Lake Lindsey, Washington, 78266"", ""email"": ""tricia_delacruz6622@woohoo.com""}",1,6.0,9,1.75,"997 Dewy Apple, Lake Lindsey, Washington, 78266",9,machine learning engineer,35,analytics,86000
10,Regenia van der Helm,1999-02-23,,"{""mailing_address"": ""220 Middle Ridge, Falcon Heights, New Mexico, 46971"", ""email"": ""regenia6908@inlook.com""}",5,7.0,6,13.55,"220 Middle Ridge, Falcon Heights, New Mexico, 46971",6,frontend engineer,20,financial services,135000
11,Shonda Stephanin,1998-10-24,F,"{""mailing_address"": ""818 Clear Street, Rockwood, Maine, 14372"", ""email"": ""shonda_stephanin4439@coldmail.com""}",7,5.0,10,12.61,"818 Clear Street, Rockwood, Maine, 14372",10,ux/ui designer,15,HR,80000
12,Marcus Mcfarland,1977-05-29,M,"{""mailing_address"": ""718 Embers Lane, Dale, South Carolina, 19186"", ""email"": ""mcfarland1396@woohoo.com""}",7,3.0,6,9.12,"718 Embers Lane, Dale, South Carolina, 19186",6,frontend engineer,20,HR,80000
13,Edwardo Boonzayer,1975-05-23,,"{""mailing_address"": ""147 SW Plain, Solana Beach, Kansas, 01794"", ""email"": ""edwardo8281@inlook.com""}",2,15.0,5,6.09,"147 SW Plain, Solana Beach, Kansas, 01794",5,backend engineer,18,engineer,101000
14,Robena Padilla,1969-01-15,F,"{""mailing_address"": ""P.O. Box 73926, McLemoresville, Maryland, 57372"", ""email"": ""robena_padilla1477@hmail.com""}",3,5.0,9,15.92,"P.O. Box 73926, McLemoresville, Maryland, 57372",9,machine learning engineer,35,software developer,110000
15,Tamala Sears,1942-06-01,F,"{""mailing_address"": ""868 Hazy Crossing, Bethania, Washington, 08205"", ""email"": ""tamala4408@woohoo.com""}",7,13.0,1,4.64,"868 Hazy Crossing, Bethania, Washington, 08205",1,data scientist,20,HR,80000
17,Maris Benskoop,1965-08-10,F,"{""mailing_address"": ""P.O. Box 93831, South Mountain, Washington, 02481"", ""email"": ""maris5817@hmail.com""}",5,5.0,4,12.08,"P.O. Box 93831, South Mountain, Washington, 02481",4,software engineering,25,financial services,135000
18,Yolande van Hees,1978-12-09,F,"{""mailing_address"": ""460 Dusty Kennedy Cove, McBaine, New Jersey, 41490"", ""email"": ""vanhees6330@woohoo.com""}",7,13.0,9,34.44,"460 Dusty Kennedy Cove, McBaine, New Jersey, 41490",9,machine learning engineer,35,HR,80000
19,Dominic Werner,1973-09-29,M,"{""mailing_address"": ""P.O. Box 70430, Laramie, Nevada, 56963"", ""email"": ""werner3867@coldmail.com""}",5,14.0,8,22.84,"P.O. Box 70430, Laramie, Nevada, 56963",8,android developer,27,financial services,135000
21,Toney Villarreal,1993-06-04,M,"{""mailing_address"": ""P.O. Box 22286, Leisure Village, South Carolina, 22326"", ""email"": ""villarreal2146@woohoo.com""}",4,4.0,3,4.3,"P.O. Box 22286, Leisure Village, South Carolina, 22326",3,data analyst,12,creative,66000
22,Clayton Lamb,1963-02-02,M,"{""mailing_address"": ""601 Old Oak Village, Binger, Connecticut, 29228"", ""email"": ""lamb2933@woohoo.com""}",2,8.0,6,2.86,"601 Old Oak Village, Binger, Connecticut, 29228",6,frontend engineer,20,engineer,101000
23,Isabel van Erven,1973-06-11,F,"{""mailing_address"": ""863 Seventh Boulevard, Marianna, Indiana, 01611"", ""email"": ""isabel9601@coldmail.com""}",6,9.0,5,7.02,"863 Seventh Boulevard, Marianna, Indiana, 01611",5,backend engineer,18,education,61000
24,Eartha Weeks,1954-12-05,F,"{""mailing_address"": ""192 Cedar Vale, Hersey village, Illinois, 68184"", ""email"": ""eartha_weeks7248@hmail.com""}",7,2.0,1,9.86,"192 Cedar Vale, Hersey village, Illinois, 68184",1,data scientist,20,HR,80000
25,Eloy Limmink,1998-01-07,M,"{""mailing_address"": ""103 Sunny Rapid Parade, Marshfield, Delaware, 13122"", ""email"": ""eloy_limmink6109@coldmail.com""}",3,10.0,3,10.24,"103 Sunny Rapid Parade, Marshfield, Delaware, 13122",3,data analyst,12,software developer,110000
28,Lexie Rowland,1942-08-30,F,"{""mailing_address"": ""33 High Cider Skyway, Inglewood, Mississippi, 22019"", ""email"": ""rowland6740@hmail.com""}",4,14.0,3,8.74,"33 High Cider Skyway, Inglewood, Mississippi, 22019",3,data analyst,12,creative,66000
29,Edgardo Chavez,1946-02-12,M,"{""mailing_address"": ""758 Green Butterfly Gateway, Crescentvillage, Maine, 81750"", ""email"": ""edgardo9341@woohoo.com""}",7,12.0,5,12.98,"758 Green Butterfly Gateway, Crescentvillage, Maine, 81750",5,backend engineer,18,HR,80000
30,Bettyann Klarenbos,1950-11-05,F,"{""mailing_address"": ""838 Horse Dam, Westmorland, Alabama, 31955"", ""email"": ""bettyann_klarenbos7887@coldmail.com""}",1,9.0,9,21.45,"838 Horse Dam, Westmorland, Alabama, 31955",9,machine learning engineer,35,analytics,86000
32,Antwan Villegas,1976-06-11,M,"{""mailing_address"": ""P.O. Box 75909, Closter borough, Montana, 06529"", ""email"": ""antwan_villegas3074@woohoo.com""}",7,3.0,3,3.39,"P.O. Box 75909, Closter borough, Montana, 06529",3,data analyst,12,HR,80000
33,Madelene Poole,1978-11-25,F,"{""mailing_address"": ""797 Horse Terrace, Bonsall, Vermont, 93588"", ""email"": ""madelene9077@inlook.com""}",6,13.0,7,6.93,"797 Horse Terrace, Bonsall, Vermont, 93588",7,iOS developer,27,education,61000
34,Dion Donaldson,1947-02-21,M,"{""mailing_address"": ""P.O. Box 99080, Horse Cave, Idaho, 68425"", ""email"": ""dion_donaldson674@inlook.com""}",3,15.0,4,9.69,"P.O. Box 99080, Horse Cave, Idaho, 68425",4,software engineering,25,software developer,110000
35,Gerry Moss,1993-03-01,F,"{""mailing_address"": ""74 Broad Gate Hollow, Crystal Lakes, New York, 38056"", ""email"": ""moss3407@inlook.com""}",3,5.0,3,3.91,"74 Broad Gate Hollow, Crystal Lakes, New York, 38056",3,data analyst,12,software developer,110000
36,Natalie Goff,1978-01-17,F,"{""mailing_address"": ""961 Squaw Crest, Bonner Springs, Nebraska, 76506"", ""email"": ""natalie2200@inlook.com""}",6,0.0,2,10.65,"961 Squaw Crest, Bonner Springs, Nebraska, 76506",2,data engineer,20,education,61000
37,Ellis Leblanc,1998-10-19,M,"{""mailing_address"": ""185 Cloud Promenade, Montreal, Georgia, 62218"", ""email"": ""leblanc1665@coldmail.com""}",2,8.0,9,22.62,"185 Cloud Promenade, Montreal, Georgia, 62218",9,machine learning engineer,35,engineer,101000
38,Cristobal Kastelein,1981-04-29,M,"{""mailing_address"": ""328 NE Third Acres, North Madison, Colorado, 24053"", ""email"": ""cristobal6144@woohoo.com""}",4,10.0,10,9.31,"328 NE Third Acres, North Madison, Colorado, 24053",10,ux/ui designer,15,creative,66000
39,Miki Darvill,1996-03-15,F,"{""mailing_address"": ""481 Silent Harbor, Topsfield, Montana, 60773"", ""email"": ""darvill7852@inlook.com""}",6,15.0,5,18.1,"481 Silent Harbor, Topsfield, Montana, 60773",5,backend engineer,18,education,61000
40,Gregory Battle,1951-10-29,M,"{""mailing_address"": ""P.O. Box 40991, North Edwards, Vermont, 60792"", ""email"": ""battle774@inlook.com""}",2,8.0,6,12.33,"P.O. Box 40991, North Edwards, Vermont, 60792",6,frontend engineer,20,engineer,101000
41,Latisha Wermeskerken,1964-06-01,F,"{""mailing_address"": ""924 Iron Turnpike, Mullin, California, 34730"", ""email"": ""latisha_wermeskerken7346@inlook.com""}",1,6.0,9,29.85,"924 Iron Turnpike, Mullin, California, 34730",9,machine learning engineer,35,analytics,86000
42,Lynwood Adenrock,1952-03-30,,"{""mailing_address"": ""P.O. Box 68680, Minnetonka, Texas, 54117"", ""email"": ""adenrock1157@inlook.com""}",7,12.0,7,10.01,"P.O. Box 68680, Minnetonka, Texas, 54117",7,iOS developer,27,HR,80000
43,Lula Sanchez,1973-07-16,F,"{""mailing_address"": ""P.O. Box 13628, Moclips, Arizona, 43700"", ""email"": ""lula_sanchez1712@inlook.com""}",4,15.0,6,12.69,"P.O. Box 13628, Moclips, Arizona, 43700",6,frontend engineer,20,creative,66000
44,Cori Castillo,2000-11-13,F,"{""mailing_address"": ""357 Iron Anchor Row, Sunny Isles Beach, Texas, 67082"", ""email"": ""cori_castillo5326@woohoo.com""}",1,14.0,8,16.6,"357 Iron Anchor Row, Sunny Isles Beach, Texas, 67082",8,android developer,27,analytics,86000
45,Refugio van Deijl,1982-10-14,M,"{""mailing_address"": ""314 Indian Willow Causeway, Marion Center, Maine, 17322"", ""email"": ""vandeijl2146@hmail.com""}",7,14.0,5,6.87,"314 Indian Willow Causeway, Marion Center, Maine, 17322",5,backend engineer,18,HR,80000
46,Janett Fleming,1973-10-25,F,"{""mailing_address"": ""91 Velvet Road, South Venice, Virginia, 40051"", ""email"": ""janett1893@hmail.com""}",2,6.0,3,12.11,"91 Velvet Road, South Venice, Virginia, 40051",3,data analyst,12,engineer,101000
